dataType,displayName,id,length,name,readOnly
string,Company Name,2,255.0,company,False
string,Site,3,255.0,site,False
text,Billing Address,4,,billingStreet,False
string,Billing City,5,255.0,billingCity,False
string,Billing State,6,255.0,billingState,False
string,Billing Country,7,255.0,billingCountry,False
string,Billing Postal Code,8,255.0,billingPostalCode,False
url,Website,9,255.0,website,False
string,Main Phone,10,255.0,mainPhone,False
currency,Annual Revenue,13,,annualRevenue,False
integer,Num Employees,14,,numberOfEmployees,False
string,Industry,15,255.0,industry,False
string,SIC Code,16,40.0,sicCode,False
text,Company Notes,18,,mktoCompanyNotes,False
string,Marketo Data.com Id,32,50.0,,
string,Marketo Data.com Status,33,50.0,,
integer,Id,39,,id,False
string,Full Name,40,255.0,mktoName,True
string,Person Type,41,50.0,personType,False
boolean,Is Partner,43,,mktoIsPartner,False
boolean,Is Lead,44,,isLead,False
boolean,Is Customer,45,,mktoIsCustomer,False
boolean,Is Anonymous,46,,isAnonymous,False
string,Salutation,47,255.0,salutation,False
string,First Name,48,255.0,firstName,False
string,Middle Name,49,255.0,middleName,False
string,Last Name,50,255.0,lastName,False
email,Email Address,51,255.0,email,False
phone,Phone Number,52,255.0,phone,False
phone,Mobile Phone Number,53,255.0,mobilePhone,False
phone,Fax Number,54,255.0,fax,False
string,Job Title,57,255.0,title,False
reference,Contact Company,58,,contactCompany,True
date,Date of Birth,59,,dateOfBirth,False
text,Address,60,,address,False
string,City,61,255.0,city,False
string,State,62,255.0,state,False
string,Country,63,255.0,country,False
string,Postal Code,64,255.0,postalCode,False
string,Original Source Type,66,255.0,originalSourceType,True
string,Original Source Info,67,2000.0,originalSourceInfo,True
string,Registration Source Type,68,255.0,registrationSourceType,False
string,Registration Source Info,69,2000.0,registrationSourceInfo,False
string,Original Search Engine,70,255.0,originalSearchEngine,True
string,Original Search Phrase,71,255.0,originalSearchPhrase,True
url,Original Referrer,72,255.0,originalReferrer,True
boolean,Email Invalid,73,,emailInvalid,False
string,Email Invalid Cause,74,255.0,emailInvalidCause,False
boolean,Unsubscribed,75,,unsubscribed,False
string,Unsubscribed Reason,77,2000.0,unsubscribedReason,False
boolean,Do Not Call,78,,doNotCall,False
string,Do Not Call Cause,79,255.0,mktoDoNotCallCause,False
string,Do Not Call Reason,80,2000.0,doNotCallReason,False
text,Person Notes,85,,mktoPersonNotes,False
string,Anonymous IP,99,255.0,anonymousIP,False
string,Inferred Company,100,255.0,inferredCompany,True
string,Inferred Country,101,255.0,inferredCountry,True
string,Inferred City,102,255.0,inferredCity,True
string,Inferred State Region,103,255.0,inferredStateRegion,True
string,Inferred Postal Code,104,255.0,inferredPostalCode,True
string,Inferred Metropolitan Area,105,255.0,inferredMetropolitanArea,True
string,Inferred Phone Area Code,106,255.0,inferredPhoneAreaCode,True
string,Department,122,255.0,department,False
string,Marketo Data.com Status,123,50.0,,
string,Marketo Data.com Id,124,50.0,,
datetime,Created At,126,,createdAt,True
datetime,Updated At,127,,updatedAt,True
string,Cookies,132,255.0,cookies,False
reference,Lead Person,135,,leadPerson,True
string,Role,137,50.0,leadRole,False
string,Lead Source,138,255.0,leadSource,False
string,Lead Status,139,255.0,leadStatus,False
integer,Lead Score,140,,leadScore,False
float,Urgency,141,,urgency,False
integer,Priority,142,,priority,False
integer,Relative Score,143,,relativeScore,False
integer,Relative Urgency,144,,relativeUrgency,False
string,Lead Rating,154,255.0,rating,False
